Index,Vocab-expression,Vocab-kana,Vocab-meaning,Sentence-expression,Sentence-kana,Sentence-meaning,Vocab-furigana,Sentence-furigana,Sentence-Cloze
960,映画,えいが,movie,彼はよく<b>映画</b>を見ます。,かれ は よく <b>えいが</b> を みます,He often watches movies.,映画[えいが],彼[かれ]はよく<b> 映画[えいが]</b>を 見[み]ます。,彼[かれ]はよく<b>（　）</b>を 見[み]ます。
961,帰国,きこく,return to one's country,彼は<b>帰国</b>しました。,かれ は <b>きこく</b> しました,He returned to his country.,帰国[きこく],彼[かれ]は<b> 帰国[きこく]</b>しました。,彼[かれ]は<b>（　）</b>しました。
962,遅れる,おくれる,be late,今朝彼女は学校に<b>遅れました</b>。,けさ かのじょ は がっこう に <b>おくれました</b>,She was late for school this morning.,遅[おく]れる,今朝彼女[けさ かのじょ]は 学校[がっこう]に<b> 遅[おく]れました</b>。,今朝彼女[けさ かのじょ]は 学校[がっこう]に<b>（　）</b>。
963,移る,うつる,"move, shift",彼女は新しい会社に<b>移った</b>。,かのじょ は あたらしい かいしゃ に <b>うつった</b>,She moved to a new company.,移[うつ]る,彼女[かのじょ]は 新[あたら]しい 会社[かいしゃ]に<b> 移[うつ]った</b>。,彼女[かのじょ]は 新[あたら]しい 会社[かいしゃ]に<b>（　）</b>。
964,旅行,りょこう,"travel, trip",彼女は<b>旅行</b>が好きです。,かのじょ は <b>りょこう</b> が すき です,She likes traveling.,旅行[りょこう],彼女[かのじょ]は<b> 旅行[りょこう]</b>が 好[す]きです。,彼女[かのじょ]は<b>（　）</b>が 好[す]きです。
965,マンション,マンション,"apartment, apartment block, condominium",彼は<b>マンション</b>に住んでいます。,かれ は <b>まんしょん</b> に すんで います,He lives in an apartment.,マンション,彼[かれ]は<b>マンション</b>に 住[す]んでいます。,彼[かれ]は<b>（　）</b>に 住[す]んでいます。
966,育てる,そだてる,"bring up, breed",彼女は三人の子を<b>育てました</b>。,かのじょ は さんにん の こ を <b>そだてました</b>,She raised three children.,育[そだ]てる,彼女[かのじょ]は 三人[さんにん]の 子[こ]を<b> 育[そだ]てました</b>。,彼女[かのじょ]は 三人[さんにん]の 子[こ]を<b>（　）</b>。
967,明るい,あかるい,"bright, cheerful",彼女は<b>明るい</b>性格です。,かのじょ は <b>あかるい</b> せいかく です,She has a cheerful personality.,明[あか]るい,彼女[かのじょ]は<b> 明[あか]るい</b> 性格[せいかく]です。,彼女[かのじょ]は<b>（　）</b> 性格[せいかく]です。
968,借りる,かりる,borrow,彼にビデオを<b>借りました</b>。,かれ に びでお を <b>かりました</b>,I borrowed a video from him.,借[か]りる,彼[かれ]にビデオを<b> 借[か]りました</b>。,彼[かれ]にビデオを<b>（　）</b>。
969,立てる,たてる,"stand, set up, establish",彼はケーキにろうそくを<b>立てた</b>。,かれ は けーき に ろうそく を <b>たてた</b>,He stuck the candles into the cake.,立[た]てる,彼[かれ]はケーキにろうそくを<b> 立[た]てた</b>。,彼[かれ]はケーキにろうそくを<b>（　）</b>。
970,アパート,アパート,"apartment, flat, apartment house",彼は<b>アパート</b>に住んでいます。,かれ は <b>あぱーと</b> に すんで います,He lives in an apartment.,アパート,彼[かれ]は<b>アパート</b>に 住[す]んでいます。,彼[かれ]は<b>（　）</b>に 住[す]んでいます。
971,長男,ちょうなん,eldest son,彼の<b>長男</b>は8才です。,かれ の <b>ちょうなん</b> は はっさい です,His oldest son is eight years old.,長男[ちょうなん],彼[かれ]の<b> 長男[ちょうなん]</b>は 8才[はっさい]です。,彼[かれ]の<b>（　）</b>は 8才[はっさい]です。
972,黒い,くろい,"black, dark",彼女は<b>黒い</b>ドレスを着ています。,かのじょ は <b>くろい</b> どれす を きて います,She's wearing a black dress.,黒[くろ]い,彼女[かのじょ]は<b> 黒[くろ]い</b>ドレスを 着[き]ています。,彼女[かのじょ]は<b>（　）</b>ドレスを 着[き]ています。
973,受け取る,うけとる,"receive, understand",彼からメールを<b>受け取りました</b>。,かれ から めーる を <b>うけとりました</b>,I got an email from him.,受[う]け 取[と]る,彼[かれ]からメールを<b> 受[う]け 取[と]りました</b>。,彼[かれ]からメールを<b>（　）</b>。
974,渡す,わたす,"carry across, hand over",彼に手紙を<b>渡しました</b>。,かれ に てがみ を <b>わたしました</b>,I handed him the letter.,渡[わた]す,彼[かれ]に 手紙[てがみ]を<b> 渡[わた]しました</b>。,彼[かれ]に 手紙[てがみ]を<b>（　）</b>。
975,グラフ,グラフ,"chart, graph",彼は売上を<b>グラフ</b>にした。,かれ は うりあげ を <b>ぐらふ</b> に した,He made a chart of the sales figures.,グラフ,彼[かれ]は 売上[うりあげ]を<b>グラフ</b>にした。,彼[かれ]は 売上[うりあげ]を<b>（　）</b>にした。
976,ラジオ,ラジオ,radio,彼女は<b>ラジオ</b>を聞いています。,かのじょ は <b>らじお</b> を きいて います,She's listening to the radio.,ラジオ,彼女[かのじょ]は<b>ラジオ</b>を 聞[き]いています。,彼女[かのじょ]は<b>（　）</b>を 聞[き]いています。
977,兄弟,きょうだい,sibling,彼は3人<b>兄弟</b>です。,かれ は さんにん <b>きょうだい</b> です,He has two siblings.,兄弟[きょうだい],彼[かれ]は 3人[さんにん]<b> 兄弟[きょうだい]</b>です。,彼[かれ]は 3人[さんにん]<b>（　）</b>です。
978,運転手,うんてんしゅ,driver,彼はタクシーの<b>運転手</b>です。,かれ は たくしー の <b>うんてんしゅ</b> です,He's a taxi driver.,運転手[うんてんしゅ],彼[かれ]はタクシーの<b> 運転手[うんてんしゅ]</b>です。,彼[かれ]はタクシーの<b>（　）</b>です。
979,見送る,みおくる,see (someone) off,彼が外国に行くのを<b>見送りました</b>。,かれ が がいこく に いく の を <b>みおくりました</b>,I saw him off on his trip overseas.,見送[みおく]る,彼[かれ]が 外国[がいこく]に 行[い]くのを<b> 見送[みおく]りました</b>。,彼[かれ]が 外国[がいこく]に 行[い]くのを<b>（　）</b>。
980,おかしい,おかしい,"strange, peculiar, suspicious",彼の様子が<b>おかしい</b>。,かれ の ようす が <b>おかしい</b>,He's acting strange.,おかしい,彼[かれ]の 様子[ようす]が<b>おかしい</b>。,彼[かれ]の 様子[ようす]が<b>（　）</b>。
981,荷物,にもつ,"baggage, load",彼の家に<b>荷物</b>を送りました。,かれ の いえ に <b>にもつ</b> を おくりました,I sent a package to his house.,荷物[にもつ],彼[かれ]の 家[いえ]に<b> 荷物[にもつ]</b>を 送[おく]りました。,彼[かれ]の 家[いえ]に<b>（　）</b>を 送[おく]りました。
982,貸す,かす,"lend, lease",私は彼に本を<b>貸しています</b>。,わたし は かれ に ほん を <b>かして います</b>,I'm lending him the book.,貸[か]す,私[わたし]は 彼[かれ]に 本[ほん]を<b> 貸[か]しています</b>。,私[わたし]は 彼[かれ]に 本[ほん]を<b>（　）</b>。
983,人形,にんぎょう,doll,彼女は<b>人形</b>をたくさん持っています。,かのじょ は <b>にんぎょう</b> を たくさん もって います,She has a lot of dolls.,人形[にんぎょう],彼女[かのじょ]は<b> 人形[にんぎょう]</b>をたくさん 持[も]っています。,彼女[かのじょ]は<b>（　）</b>をたくさん 持[も]っています。
984,銀,ぎん,silver,彼は<b>銀</b>メダルを取った。,かれ は <b>ぎん</b>めだる を とった,He got the silver medal.,銀[ぎん],彼[かれ]は<b> 銀[ぎん]</b>メダルを 取[と]った。,彼[かれ]は<b>（　）</b>メダルを 取[と]った。
985,届ける,とどける,"deliver, give notice",これを彼に<b>届けて</b>ください。,これ を かれ に <b>とどけて</b> ください,Please send this to him.,届[とど]ける,これを 彼[かれ]に<b> 届[とど]けて</b>ください。,これを 彼[かれ]に<b>（　）</b>ください。
986,金持ち,かねもち,wealthy person,彼は<b>金持ち</b>です。,かれ は <b>かねもち</b> です,He's rich.,金持[かねも]ち,彼[かれ]は<b> 金持[かねも]ち</b>です。,彼[かれ]は<b>（　）</b>です。
987,ボール,ボール,ball,彼は<b>ボール</b>を投げた。,かれ は <b>ぼーる</b> を なげた,He threw the ball.,ボール,彼[かれ]は<b>ボール</b>を 投[な]げた。,彼[かれ]は<b>（　）</b>を 投[な]げた。
988,オートバイ,オートバイ,"motorbike, motorcycle",彼は<b>オートバイ</b>に乗っている。,かれ は <b>おーとばい</b> に のって いる,He rides a motorcycle.,オートバイ,彼[かれ]は<b>オートバイ</b>に 乗[の]っている。,彼[かれ]は<b>（　）</b>に 乗[の]っている。
989,習う,ならう,"learn, practice",彼は空手を<b>習っています</b>。,かれ は からて を <b>ならって います</b>,He's learning karate.,習[なら]う,彼[かれ]は 空手[からて]を<b> 習[なら]っています</b>。,彼[かれ]は 空手[からて]を<b>（　）</b>。
990,左手,ひだりて,left hand,彼女は<b>左手</b>で字を書く。,かのじょ は <b>ひだりて</b> で じ を かく,She writes left-handed.,左手[ひだりて],彼女[かのじょ]は<b> 左手[ひだりて]</b>で 字[じ]を 書[か]く。,彼女[かのじょ]は<b>（　）</b>で 字[じ]を 書[か]く。
991,着物,きもの,"clothes, kimono",彼女は<b>着物</b>がよく似合います。,かのじょ は <b>きもの</b> が よく にあいます,She looks good in a kimono.,着物[きもの],彼女[かのじょ]は<b> 着物[きもの]</b>がよく 似合[にあ]います。,彼女[かのじょ]は<b>（　）</b>がよく 似合[にあ]います。
992,映画館,えいがかん,movie theater,彼と近くの<b>映画館</b>に行きました。,かれ と ちかく の <b>えいがかん</b> に いきました,I went to a nearby movie theater with him.,映画館[えいがかん],彼[かれ]と 近[ちか]くの<b> 映画館[えいがかん]</b>に 行[い]きました。,彼[かれ]と 近[ちか]くの<b>（　）</b>に 行[い]きました。
993,スイッチ,スイッチ,switch,彼はカーラジオの<b>スイッチ</b>を入れた。,かれ は かーらじお の <b>すいっち</b> を いれた,He hit the switch on his car radio.,スイッチ,彼[かれ]はカーラジオの<b>スイッチ</b>を 入[い]れた。,彼[かれ]はカーラジオの<b>（　）</b>を 入[い]れた。
994,テニス,テニス,tennis,彼らはよく<b>テニス</b>をしています。,かれら は よく <b>てにす</b> を して います,They often play tennis.,テニス,彼[かれ]らはよく<b>テニス</b>をしています。,彼[かれ]らはよく<b>（　）</b>をしています。
995,おかしい,おかしい,"funny, amusing, comical",彼の話は<b>おかしかった</b>。,かれ の はなし は <b>おかしかった</b>,His story was funny.,おかしい,彼[かれ]の 話[はなし]は<b>おかしかった</b>。,彼[かれ]の 話[はなし]は<b>（　）</b>。
